sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
25570600032,2020-01-23T06:57:30Z,81,21,23,37,48,65,0.06217616580310881
25556266491,2020-01-22T06:57:30Z,71,21,17,33,71,62,0.08180708180708181
25539364326,2020-01-21T04:56:00Z,73,19,22,32,48,63,0.08245877061469266
25525687136,2020-01-20T09:32:00Z,68,21,14,33,74,62,0.08774193548387096
25509268034,2020-01-19T05:27:00Z,80,23,21,36,108,60,0.07612903225806451
25494941844,2020-01-18T05:06:00Z,60,18,22,20,44,60,0.09644670050761421
25485241630,2020-01-17T07:19:00Z,86,22,23,41,94,62,0.06471183013144591
25478139424,2020-01-16T06:27:30Z,57,18,14,25,66,61,0.07155963302752294
25437221061,2020-01-14T06:11:30Z,82,21,23,38,79,62,0.07926167209554831
25419150567,2020-01-13T05:47:30Z,75,21,22,32,58,63,0.08561236623067776
25404646860,2020-01-12T04:51:30Z,75,21,22,32,79,62,0.0889487870619946
25390321318,2020-01-11T05:01:30Z,75,19,22,34,49,64,0.10366624525916561
25380215939,2020-01-10T06:51:30Z,72,19,19,34,62,62,0.09906291834002677
25341425361,2020-01-08T06:51:30Z,81,21,22,38,53,62,0.07901234567901234
25275754975,2020-01-04T09:52:00Z,80,22,18,40,88,59,0.12852969814995133
25262591431,2020-01-03T08:39:00Z,86,21,23,42,76,61,0.06680161943319839
25245653511,2020-01-02T08:59:00Z,86,21,22,43,60,61,0.07979274611398963
25233027678,2020-01-01T09:38:30Z,79,21,18,40,67,58,0.09683995922528033
25219507922,2019-12-31T08:11:30Z,85,21,23,41,67,61,0.06445497630331753
25202833816,2019-12-30T07:59:30Z,57,19,13,25,48,59,0.06958250497017893
25189667712,2019-12-29T07:11:30Z,79,21,22,36,49,61,0.09622411693057248
25175387711,2019-12-28T08:53:00Z,86,21,23,42,66,63,0.07708333333333334
25166537134,2019-12-27T08:41:30Z,56,15,13,28,22,61,0.06687898089171974
25153397497,2019-12-26T08:25:30Z,86,22,20,44,87,61,0.1072961373390558
25132625328,2019-12-24T09:38:00Z,87,22,22,43,89,58,0.06768558951965066
25121815646,2019-12-23T08:42:30Z,90,22,22,46,84,59,0.08169014084507042
25106768371,2019-12-22T08:04:00Z,77,18,21,38,73,60,0.1141552511415525
25099773738,2019-12-21T10:29:30Z,80,23,13,44,128,58,0.054339010543390104
25086208045,2019-12-20T04:42:30Z,83,18,21,44,72,60,0.0825451418744626
25086208044,2019-12-19T13:48:30Z,54,16,13,25,30,59,0.10144927536231885
25060242343,2019-12-18T07:00:30Z,83,18,23,42,74,58,0.0669500531349628
25043936541,2019-12-17T07:04:30Z,80,21,23,36,47,60,0.0748663101604278
25030346732,2019-12-16T07:02:30Z,73,20,22,31,87,60,0.08607594936708861
25020357955,2019-12-15T09:17:30Z,88,21,22,45,70,61,0.07364685004436557
25008792098,2019-12-14T08:10:30Z,78,21,20,37,57,59,0.060676779463243874
24997889480,2019-12-13T06:44:30Z,70,21,14,35,70,57,0.06762028608582575
24984660612,2019-12-12T06:49:30Z,76,17,23,36,71,58,0.07911802853437094
24972307388,2019-12-11T07:00:30Z,83,21,23,39,79,60,0.07379679144385026
24958405488,2019-12-10T06:02:30Z,72,17,23,32,78,63,0.0686641697877653
24941838323,2019-12-09T06:13:30Z,79,17,23,39,78,64,0.08021390374331551
24935665844,2019-12-08T08:52:30Z,86,22,23,41,94,66,0.08471275559883155
24924567115,2019-12-07T10:31:00Z,69,20,12,37,39,63,0.09001097694840834
24912886205,2019-12-06T07:02:00Z,83,20,23,40,37,63,0.06541019955654102
24869005357,2019-12-03T07:09:30Z,89,21,23,45,70,62,0.07726864330637916
24856641348,2019-12-02T06:40:00Z,71,18,24,29,24,63,0.058712121212121215
24843153779,2019-12-01T06:22:30Z,75,21,22,32,51,64,0.07422402159244265
24830418486,2019-11-30T08:11:00Z,81,21,18,42,53,62,0.06307222787385554
24822599306,2019-11-29T06:29:30Z,80,21,21,38,60,60,0.0620253164556962
24812250073,2019-11-28T07:37:30Z,74,21,19,34,64,58,0.06169965075669383
24801178101,2019-11-27T07:08:30Z,75,21,17,37,60,56,0.07894736842105263
24791098223,2019-11-26T07:09:30Z,79,20,22,37,37,58,0.0821917808219178
24777777033,2019-11-25T06:32:00Z,82,21,22,39,100,60,0.09004739336492891
24767631835,2019-11-24T09:04:00Z,64,15,16,33,73,59,0.07285714285714286
24755313864,2019-11-23T08:11:30Z,60,17,14,29,58,57,0.07226890756302522
24744274772,2019-11-22T06:19:30Z,77,20,21,36,61,56,0.10767468499427263
24724743767,2019-11-21T06:41:00Z,78,21,23,34,56,56,0.06201550387596899
24703979066,2019-11-20T06:52:30Z,82,21,22,39,78,56,0.06212664277180406
24696230060,2019-11-19T06:59:30Z,72,17,22,33,59,56,0.09396914446002805
24681215897,2019-11-18T06:14:30Z,76,22,21,33,88,59,0.09433962264150944
24670830833,2019-11-17T08:05:00Z,79,22,15,42,89,57,0.0861244019138756
24659984736,2019-11-16T08:10:00Z,80,20,22,38,45,56,0.07517084282460136
24647969288,2019-11-15T06:53:30Z,79,21,22,36,73,56,0.0897571277719113
24635266789,2019-11-14T06:43:30Z,80,18,22,40,71,56,0.0798650168728909
24624250909,2019-11-13T06:38:30Z,77,21,21,35,44,56,0.10051813471502591
24610787618,2019-11-12T06:48:30Z,80,21,22,37,53,58,0.08731082654249127
24596590368,2019-11-11T06:50:30Z,75,19,17,39,72,56,0.09613259668508287
24587529864,2019-11-10T06:37:00Z,76,21,22,33,70,58,0.1033434650455927
24573735698,2019-11-09T06:28:00Z,81,21,23,37,44,61,0.07201086956521739
24563326892,2019-11-08T06:20:30Z,57,16,13,28,20,60,0.07103825136612021
24550493904,2019-11-07T06:47:30Z,83,21,22,40,122,59,0.11090742438130156
24539166726,2019-11-06T06:45:30Z,83,21,20,42,68,56,0.08421052631578947
24527983612,2019-11-05T06:39:30Z,81,21,21,39,82,56,0.1381936887921654
24514534301,2019-11-04T06:19:30Z,78,21,22,35,63,57,0.09987515605493133
24502188107,2019-11-03T07:29:30Z,80,21,22,37,72,58,0.09429569266589057
24491575123,2019-11-02T08:13:00Z,76,21,17,38,57,56,0.08881578947368421
24466839837,2019-10-31T06:59:30Z,78,17,20,41,70,55,0.1032325338894682
24451979306,2019-10-30T06:57:30Z,84,21,22,41,80,55,0.08341915550978372
24439809047,2019-10-29T06:53:30Z,83,19,23,41,94,56,0.06666666666666667
24426607371,2019-10-28T06:10:30Z,74,21,20,33,62,57,0.14547677261613692
24416344891,2019-10-27T09:05:30Z,88,22,21,45,92,57,0.11023622047244094
24404628418,2019-10-26T07:59:00Z,75,22,12,41,105,55,0.08147321428571429
24393669662,2019-10-25T07:08:30Z,85,22,22,41,93,56,0.08691099476439791
24379467568,2019-10-24T06:59:00Z,87,22,22,43,99,59,0.07006369426751592
24369158172,2019-10-23T07:05:30Z,78,20,21,37,87,59,0.10515247108307045
24357950226,2019-10-22T06:50:30Z,82,20,23,39,27,62,0.07452725250278086
24343028565,2019-10-21T06:16:30Z,80,21,23,36,60,63,0.08004778972520908
24332297386,2019-10-20T09:25:30Z,83,21,20,42,47,60,0.09319371727748692
24308590795,2019-10-18T07:07:30Z,84,21,22,41,63,61,0.11557788944723618
24295389099,2019-10-17T06:54:00Z,70,21,13,36,74,58,0.08771929824561403
24281551581,2019-10-16T06:36:30Z,85,21,22,42,78,59,0.07048008171603677
24269001885,2019-10-15T06:35:30Z,76,21,22,33,52,61,0.09414466130884042
24254699013,2019-10-14T06:45:30Z,86,22,22,42,83,61,0.07854984894259819
24243791247,2019-10-13T07:59:00Z,82,22,20,40,84,60,0.09643201542912247
24234382665,2019-10-12T07:27:30Z,89,22,21,46,104,58,0.05834092980856882
24217168227,2019-10-11T04:27:30Z,46,17,19,10,27,57,0.1825657894736842
24209939592,2019-10-10T06:44:30Z,79,21,23,35,68,58,0.0853517877739331
24196219689,2019-10-09T06:53:30Z,77,19,22,36,90,58,0.09563164108618655
24182423604,2019-10-08T06:37:30Z,83,21,22,40,75,59,0.09871668311944719
24158929795,2019-10-07T06:23:30Z,77,21,23,33,57,59,0.06954102920723226
24146488676,2019-10-06T10:08:30Z,86,22,21,43,105,61,0.1265012009607686
24135861492,2019-10-05T10:03:30Z,68,21,12,35,76,58,0.088016967126193
24120950887,2019-10-04T06:48:30Z,78,22,21,35,84,57,0.09698996655518395
24097720317,2019-10-02T07:12:30Z,80,19,23,38,49,57,0.07407407407407407
24083966027,2019-10-01T06:57:30Z,81,21,22,38,59,59,0.09408033826638477
24069885527,2019-09-30T06:13:00Z,81,21,24,36,60,61,0.05593451568894952
24057403694,2019-09-29T09:02:30Z,89,21,22,46,82,59,0.07421503330161751
24046184093,2019-09-28T08:08:00Z,71,21,14,36,83,58,0.04011461318051576
24033883280,2019-09-27T07:14:30Z,77,19,22,36,95,58,0.10318331503841932
24020994825,2019-09-26T07:04:30Z,65,21,15,29,46,56,0.06280193236714976
24009976909,2019-09-25T06:59:30Z,77,19,22,36,27,57,0.08304498269896193
23998879233,2019-09-24T07:05:30Z,79,22,20,37,84,58,0.09178228388473852
23985850052,2019-09-23T06:00:30Z,64,16,22,26,45,60,0.12235817575083426
23975115708,2019-09-22T09:37:30Z,90,21,23,46,79,63,0.07743547044129892
23963643691,2019-09-21T07:48:00Z,73,20,22,31,65,62,0.08779761904761904
23950735521,2019-09-20T06:43:00Z,83,21,20,42,38,63,0.13641133263378805
23938579293,2019-09-19T06:43:30Z,83,19,22,42,67,63,0.07399794450154162
23925705044,2019-09-18T05:06:30Z,76,21,22,33,64,63,0.10090556274256145
23913461072,2019-09-17T06:04:30Z,77,17,22,38,58,64,0.05166475315729047
23887363986,2019-09-16T06:00:30Z,64,17,18,29,75,62,0.14371980676328502
23876707977,2019-09-15T08:08:00Z,70,20,15,35,36,60,0.0712719298245614
23864711756,2019-09-14T06:50:30Z,71,19,21,31,44,60,0.10256410256410256
23853924889,2019-09-13T06:56:30Z,77,21,21,35,59,61,0.11178247734138973
23839824635,2019-09-12T07:50:30Z,86,21,23,42,79,62,0.07676130389064142
23823456011,2019-09-11T08:43:30Z,88,21,22,45,40,62,0.07404103479036575
23809133645,2019-09-10T07:12:30Z,80,21,22,37,62,65,0.09744990892531877
23788673320,2019-09-09T07:44:30Z,71,19,19,33,58,63,0.13280363223609534
23776940315,2019-09-08T08:39:30Z,84,21,22,41,80,65,0.06789524733268672
23765552252,2019-09-07T09:38:30Z,81,21,17,43,59,61,0.0627420604182804
23726451554,2019-09-04T06:55:30Z,70,20,23,27,34,62,0.08460471567267684
23711473300,2019-09-03T06:10:30Z,80,18,22,40,21,65,0.07650273224043716
23700429613,2019-09-02T08:23:30Z,67,20,14,33,81,63,0.08600770218228498
23687036360,2019-09-01T08:17:00Z,58,19,13,26,60,59,0.06493506493506493
23676262942,2019-08-31T08:07:30Z,72,21,13,38,65,57,0.09134045077105575
